text,tweets_transform,polarity
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,Oh man  ironing  fave top wear meeting  Burnt,0.5
is strangely sad about LiLo and SamRo breaking up. ,strangely sad LiLo SamRo breaking ,-0.5
@tea oh! i'm so sorry  i didn't think about that before retweeting.,oh  sorry  think retweeting ,-0.5
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,Broadband plan  massive broken promise  via www  diigo  com tautao Still waiting broadband,-0.2
our duck and chicken are taking wayyy too long to hatch ,duck chicken taking wayyy long hatch,-0.325
I need a hug ,need hug,0.0
@oanhLove I hate when that happens... ,hate happens ,-0.8
Ugh....92 degrees tomorrow ,Ugh   92 degree tomorrow,0.0
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,u move  thought u already sd    Hmmm  Random u found  Glad hear yer well ,0.0
just leaving the parking lot of work! ,leaving parking lot work,0.0
The Life is cool. But not for Me. ,Life cool  ,0.35
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,nice day  bad rain come tomorrow 5am,-0.04999999999999993
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,bad  around lost job  even pay phone bill lmao aw shuck,-0.04999999999999993
Damm back to school tomorrow ,Damm back school tomorrow,0.0
@katortiz  Not forever... See you soon!,forever  See soon,0.0
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,Oh Haha  dude dont really look em unless someone say HEY ADDED  Sorry  terrible  need pop,-0.275
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!, sure  right  need start working Nikster  Jared least,0.1619047619047619
i really hate how people diss my bands!  Trace is clearly NOT ugly!,really hate people dis band Trace clearly ugly,-0.75
Why won't you show my location?!   http://twitpic.com/2y2es, show location ,0.0
No picnic  my phone smells like citrus.,picnic phone smell like citrus ,0.0
No new csi tonight.  FML,new csi tonight  FML,0.13636363636363635
i think my arms are sore from tennis ,think arm sore tennis,0.0
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,wonder someone u like much make unhappy split seccond  depressed ,-0.19999999999999998
sleep soon... i just hate saying bye and see you tomorrow for the night. ,sleep soon  hate saying bye see tomorrow night ,-0.8
missin' the boo ,missin  boo,0.0
@markhardy1974 Me too  #itm,itm,0.0
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,Damn   chalk CHALKBOARD USELESS,-0.5
@msdrama hey missed ya at the meeting  sup mama,hey missed ya meeting sup mama,0.0
why is it always the fat ones?! ,always fat one ,0.0
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,paid attention covered photoshop webpage design class undergrad,0.0
wednesday my b-day! don't know what 2 do!! ,wednesday bday  know 2,0.0
Poor cameron (the hills) ,Poor cameron  hill ,-0.4
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,Strider sick little puppy,-0.45089285714285715
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,bad nite favorite team  Astros Spartans lose  nite TW good ,0.1666666666666667
 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,Body Missing Northern Calif  Girl Found  Police found remains missing Northern California girl  ,-0.2
Behind on my classes for work ,Behind class work,-0.4
watching &quotHouse&quot ,watching quotHouse quot,0.0
@kpreyes Remember my bum leg? Strikes back this time its serious ,Remember bum leg  Strikes back time serious,-0.16666666666666666
Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,Emily glad Mommy done training new job  miss ,0.3181818181818182
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,would rather first party send bad message 3rd party send mixed one Sophmore year ,-0.11249999999999996
@Henkuyinepu it's overrated , overrated,0.0
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,q know heard afternoon wondered thing  Moscow behind time,-0.4
laying in bed with no voice.. ,laying bed voice  ,0.0
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy, sooo sad killed Kutner House whyyyyyyyy,-0.35
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,Sorry tell mea culpa really sorry ,-0.5
@salancaster  hope your ok.,hope ok ,0.5
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,Damn grind inspirational saddening time   want stop cuz like u Much love,0.5
@HibaNick yeah aw but i know i wudnt stand a chance ,yeah aw know wudnt stand chance,0.0
ugh. cant sleep. its 1:30am. ,ugh  cant sleep  1  30am ,0.0
Hanging in Crooners. Wanna sing. Can't. Sucks. ,Hanging Crooners  Wanna sing    Sucks ,-0.3
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quotmorning&quot i think.. aww i wanna go to the beach w u girls!! ,sC aaw miss ya   im leaving BH tomorrow quotmorning quot think   aww wanna go beach w u girl,0.3
Is pissed off that there's no ASBA's for a radio station. ,pissed  ASBA  radio station ,0.0
wednesday my b-day n don't know what 2 do!  ,wednesday bday n  know 2,0.0
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,know life flipped upside thought head Ramen sound good ,0.55
I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,pain  back side hurt  mention cry made fail ,-0.25
"Late night snack, glass of OJ b/c I'm &quotdown with the sickness&quot, then back to sleep...ugh I hate getting sick... ",Late night snack  glass OJ b c  quotdown sickness quot  back sleep  ugh hate getting sick ,-0.4535714285714286
@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,       big fan camilla belle,0.0
This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,week seems get longer longer term much need   much  actually going get done,0.1
I'm so cold , cold,-0.6
@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,Ehhh   Weather  gonna take turn ugly tomorrow,-0.7
@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,haha cooooold still go show  incredible stuff,0.55
Hoping the tummy rumbles go away soon ,Hoping tummy rumble go away soon,0.0
almost bedtime ,almost bedtime,0.0
I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart, missing babe   long alive  happy   Yawwwnn    tired love imma try sleep hopefully headstart,0.125
Agh...snow!!! ,Agh  snow,0.0
i miss kenny powers ,miss kenny power,0.0
@JonathanRKnight I guess that's a no then. ,guess  ,0.0
sadly is going to bed. ,sadly going bed ,-0.5
@ozesteph1992 Shame to hear this Stephan ,Shame hear Stephan,0.0
@mrsaintnick hey! i'm leavin in the morning... ,hey  leavin morning ,0.0
laid around too much today... now my head hurts ,laid around much today  head hurt,0.2
@twista202 I still haven't read the 9th&amp10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,still  read 9th amp10th Princess diary Saving Francesca made cry end  Hmm easy book ,0.43333333333333335
my nokia 1110 died..  ,nokia 1110 died  ,0.0
My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,mom might breast cancer  find anything  Like week  worried,0.0
Going to sleep. Hoping tomorrow is a better day. ,Going sleep  Hoping tomorrow better day ,0.5
@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,lol   wish understood daylight saving ended though breakfast hour later keep waking kid,0.4
@onemoreproject that is lame ,lame,-0.5
I don't understand... I really don't , understand  really ,0.2
HEROES just isn't doing it for me this season... ,HEROES  season ,0.0
Living not downtown sure isn't much fun.  ,Living downtown sure  much fun ,0.4
@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,calorie wise wish junk food calorie free ate thing sour skittle big as cherry coke,0.23750000000000002
Man Work is Hard ,Man Work Hard,-0.2916666666666667
Getting eyebrows waxed. More pain ,Getting eyebrow waxed  pain,0.0
No phantasy star yesterday  going to work...,phantasy star yesterday going work ,0.0
Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,Oh got MacHeist 3  0 apps sweet   get Espresso serial though although said sent oh well,0.35
Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,Picked Mich St win get go  feeling pretty good pick way   tonight   lost,0.5833333333333334
is alone downstairs...working ,alone downstairs  working,0.0
I feel bad for doing it ,feel bad,-0.6999999999999998
@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,yes sprint 4g baltimore chicago far,0.1
I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. , stuck awake middle night second day row  felt terrible yesterday ,-0.3333333333333333
Thanks for bursting my bubble ,Thanks bursting bubble,0.2
Going to school soon... can't find anything to wear!! gosh it's so hard ,Going school soon   find anything wear gosh  hard,-0.2916666666666667
@marieclr I was serious  LOL,serious LOL,0.23333333333333336
@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,page sooooo long got deleted Sad day history,-0.275
Crazy wind today = no birding  http://ff.im/1XTTi,Crazy wind today  birding,-0.6
currently at work.. ,currently work  ,0.0
Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,Grrr   ipod acting weird Jai ho thinking  playing full song   ughh ,-0.2125
@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,send DVD co missed heap happy,0.8
i don't see the big deal with this website , see big deal website,0.0
@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail, sorry  go   therapyfail,-0.5
@ColinDeMar Far too out of the way for rail.  any other tips?,Far way rail  tip ,0.1
I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching., still swear  keep losing  gaining  losing  gaining  tweeps  heart wrenching ,0.0
@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,danny im upset wasnt watch live chat car  3 hour trip im soooo upset,0.13636363636363635
Check out my mug  http://www.erika-obscura.blogspot.com,Check mug,0.0
Borders closed at 10 ,Borders closed 10,-0.1
Downloading NIN's new album &quotthe slip&quot - when the hell did this come out? I'm so behind the times these days ,Downloading NIN  new album quotthe slip quot hell come   behind time day,-0.13181818181818183
Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,woke already written email   go early University today teach 8  30,0.1
is watching the hill . . .and its making me sad ,watching hill    making sad,-0.5
So many channels.... yet so so boring... lazy day again  may have to find a hobby,many channel   yet boring  lazy day may find hobby,-0.25
@supersport I miss my buddy  ill be in NY on the 25th,miss buddy ill NY 25th,-0.5
@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,love french  tell people south  qtr  french snarl  french beautiful people,0.27
Opps.. As I said.. I still got one day remain and now problem come ,Opps   said   still got one day remain problem come,0.0
@HillyDoP  oH NO,oH,0.0
spencer is not a good guy. ,spencer good guy ,0.7
didn't get shit done today ~ i'm so screwed , get shit done today  screwed,-0.2
wanttss to go out ,wanttss go,0.0
Is not going to sleep tonite. ,going sleep tonite ,0.0
too worried and tired to post tonight ,worried tired post tonight,-0.4
couldn't get shit done today ~ i'm so screwed , get shit done today  screwed,-0.2
@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,really  think people choose way  think chose accept family  help might dead,0.0
@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,think ur right hahaha 4  5 hr,0.24285714285714285
i hate to see the spartans so sad ,hate see spartan sad,-0.65
My mind and body are severely protesting this &quotgetting up&quot  thing. Had nightmares to boot ,mind body severely protesting quotgetting quot thing  nightmare boot,0.0
@mandayyy ,,
@twista202 I think I want to read some books but the library doesn't have them ,think want read book library ,0.0
My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,nap interrupted many time today Going Japanese  rent ,0.25
Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,Kind longs bus show end Ghost World right  Ugh ,0.44285714285714284
@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,canada canada weird   supposed get snow wednesday  ugh ,-0.5
Awwh babs... you look so sad underneith that shop entrance of &quotYesterday's Musik&quot  O-: I like the look of the new transformer movie ,Awwh babs  look sad underneith shop entrance quotYesterday  Musik quot  like look new transformer movie,-0.18181818181818182
sad that the 'feet' of my macbook just fell off ,sad  foot  macbook fell,-0.5
I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad , gonna get late tomorrow  132am  gonna get tipsy lonesome     sad,-0.4
@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,omgawd couldnt handle cat heat time  ,0.0
@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,hope make auburn show  looking good,0.7
@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,Henrie thats people mag haha couldnt fit   dont think picture ever made magazine tho haha,0.26666666666666666
@breadandbadger Congrats!!  i totally forgot to submit photos ,Congrats totally forgot submit photo,0.0
@imaginarypeach now your leaving me  .... -gets sad-,leaving   get sad,-0.5
SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,SHOOTING OUTSIDE HOUSE  KIDDING SCARED,0.0
Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,Tuesdayï ½ll start reflection ï ½n lecture Stress reducing technique  sure might become useful u accompaniers,0.4
What tragedy and disaster in the news this week ,tragedy disaster news week,0.0
yes yes still trying to find a picture that will upload correclty.. ,yes yes still trying find picture upload correclty  ,0.0
Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,oh Red Sox game rained  looking forward opening day,-0.2
I still can't find my keys. ,still  find key ,0.0
@charlietm I know right. I dunno what is going on with twitter. ,know right  dunno going twitter ,0.2857142857142857
might be getting a sore throat again ,might getting sore throat,0.0
@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,home town  mammy called depressd  Pls explain parent let 8yr old child walk alone  Hello  2009,0.1
@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,think need find better antidepressant  think Paxil Wellbutrin combo losing efficacy ,0.5
@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,Restaurant called WoodNTap competitive eating tourney round tourney time  place 2nd,-0.1
is in the bathroom... wake up lakin. ,bathroom  wake lakin ,0.0
@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt3,want taco margarhitas telll gay say hello lt3,0.4166666666666667
bad day at the betfair office ,bad day betfair office,-0.6999999999999998
I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,miss   wait celebrate Tar Heel win weekend though,0.8
I'm really cold. I don't want to go to sleep yet but there's nothing to do , really cold   want go sleep yet  nothing,-0.6
@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,4 u   officially  4 go round,-0.2
monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,monkey    found twin wont even write back   heartbroken,-0.025
@miss_om Aww  I know I felt like that yesterday at work ,om Aww know felt like yesterday work,0.3
@SarahReedSC treaty isn't defined ,treaty  defined,0.0
missed Brent at praise band.   No fun to not have the your lead guitarist.  &ltpout&gt,missed Brent praise band  fun lead guitarist  ltpout gt,0.3
@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx,poor john happens play fruit microwave Seriously though seen doctor   Xxx,-0.3666666666666667
Missing My BFF  watching home and away it reminds me of her and me  we &lt3 It. shout out to u courts,Missing BFF watching home away reminds lt3  shout u court,-0.2
@mandayyy   ,,
New video card is DOA. ,New video card DOA ,0.13636363636363635
missed Brent at praise band.  No fun to not have your lead guitarist. &ltpout&gt,missed Brent praise band  fun lead guitarist  ltpout gt,0.3
i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah,think much past  cant change  deserved much wat got    still thinking gah,-0.024999999999999994
has lost his ring. It's no-where to be seen ,lost ring   nowhere seen,0.0
"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp MIKEY.",Ooooooh sealclap See  download shitloads zip folder 4chan  internet money  FUCK YEAH ALICIA amp MIKEY ,-0.4
Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,still nursing Nile glad feeling better  hate baby sick,-0.1285714285714286
Is fucked to go back to IC ,fucked go back IC,-0.3
@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,yoyoyo  internet rude tonight  reconnected  go bed ,-0.3
@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,well uni stuff netball netbal  done uni stuff,0.0
@kissability Me too I is poor ,poor,-0.4
help me forget 8th april &amp 13th july! ,help forget 8th april amp 13th july,0.0
i have to take my sidekick back. ,take sidekick back ,0.0
@chriscantore congrats! I'm totally jealous! only wish my XM was working ,congrats  totally jealous wish XM working,0.0
gr8t my face is very itchy ,gr8t face itchy,0.0
poor socks  luvvvvv the golden retriever!! I want one sighhhh,poor sock luvvvvv golden retriever want one sighhhh,-0.05000000000000002
I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,saw found Tracy girl piece luggage  fucking terrible,-1.0
Aaaaand the nausea is back. ,Aaaaand nausea back ,0.0
@DonnieWahlberg ooh Iï¿½m excited and not even going 2 be there  long love YOUTUBE!,ooh Iï ½m excited even going 2 long love YOUTUBE,0.27499999999999997
spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,spent 1 hour reach Axis bank find today holiday Mahavir Jayanti contd  ,-0.1
@mathewsmichael  i agree... the jobros dont update theres very often ,agree  jobros dont update there often,0.0
@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link ,hilarious linked clip LJ time ago went back dead link,0.09999999999999999
@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),OOOOOOOO   im neither thats need study ,0.0
@bostongarden I miss bentley ,miss bentley,0.0
seriously needs to finish these job applications ,seriously need finish job application,-0.3333333333333333
Whinging. My client&ampboss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&ampreviewed correctly. ,Whinging  client ampboss  understand English well  Rewrote text unreadable   written v  good writer ampreviewed correctly ,0.35
@huntermoore I don't want him to ever punch me.  , want ever punch ,0.0
sooo sick of the snow  ughh,sooo sick snow ughh,-0.7142857142857143
@ITS_NEMESIS ------- ,NEMESIS,0.0
@LoveMeagan it doesn't work your fan is upset , work fan upset,0.0
I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,would like apologize repeated Video Games Live related tweet  going stern discussion Koodo soon  Stern ,0.06818181818181818
@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,cant figure get back pay hotel etc,0.0
"FML: So much for seniority, bc of technological ineptness, I now have to &quotregister&quot for classes AGAIN ",FML  much seniority  bc technological ineptness  quotregister quot class,0.2
feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,feel like slept day away  looking forward bout gallbladder  least pill pain ,-0.3
@ThaStevieG but what I really want is my old bass back ,really want old bass back,0.037500000000000006
Mad tired today... Callin it in early tonight  nighty night twittas,Mad tired today  Callin early tonight nighty night twittas,-0.3083333333333333
I'm afraid I had bad code. , afraid bad code ,-0.6499999999999999
Think I'm going to bed. Goodniight. I hate this ,Think  going bed  Goodniight  hate,-0.8
@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??,time  notice gone  needed DB2  ,0.0
@aaronrva is in the bathroom and i have to pee!    ,bathroom pee,0.0
@ashleyskyy but I wanted a margarita too! ,wanted margarita,0.0
@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!,yup night workout r worst unfortunetly work schedule allows go night tough,-0.6944444444444444
Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good ,called Hillsong said  tell waiting list  know  looking good,0.7
@jokerrrr It stillllll hasn't arrived ,stillllll  arrived,0.0
@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time ,ah bet  like craving play softball basketball noo time,0.0
Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ,terrified accidentally deleted reference management assignment hope doesnt get trouble get back,-0.1
amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,amazon s3 plugin worked website  need PHP 5  hosting provider PHP 4  4  sad ,-0.5
Just watched tropic thunder. Dreading tomorrow ,watched tropic thunder  Dreading tomorrow,0.0
@qweendassah no...he's still miss'n... ,  still miss  n ,0.0
ChiefDelphi is down ,ChiefDelphi,0.0
playing game at home! my new boss didn't call me yet... ,playing game home new bos  call yet ,-0.13181818181818183
Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t,Su yin Huen tweeted feel unbearable guilt  made staff cry,0.0
Poor Joshy is sick???   those damn tejanos!,Poor Joshy sick    damn tejanos,-0.5571428571428572
My thoughts are with Sandra Cantu's family at this difficult and sad time ,thought Sandra Cantu  family difficult sad time,-0.5
Michigan who?  I don't know them.                   *sigh*   Shameful!,Michigan   know  sigh Shameful,0.0
i have to fill two hours ,fill two hour,0.0
@JonathanRKnight Oh! Did I mention it? &quotGooooood Moooorniiiiiiing&quot  from Germany! Im back in my cage....or better...my office ,Oh mention  quotGooooood Moooorniiiiiiing quot Germany Im back cage   better  office,0.25
throat is closing up and i had some string cheese. not a good idea ,throat closing string cheese  good idea,0.7
wishing i was home underneath my covers ,wishing home underneath cover,0.0
walking home from school drains all my energy ,walking home school drain energy,0.0
@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?,Dang would done knew earlier  outing planned ,0.0
I wish I was better at writing. It's taking me so long to write this paper. ,wish better writing   taking long write paper ,0.225
..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... ,  course  access Halo 3 Mythic Map Pack redownload   bad news   Legendary Map Pack  ugh   600MS ,0.15000000000000008
@thecoolestout Ha the sun's already gone ,Ha sun  already gone,0.0
day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. ,day 2  lot harder day 1  let  see day 3 go tomorrow ,-0.1
My man crush Jake Peavy let me down  #gayforpeavy,man crush Jake Peavy let gayforpeavy,0.0
michigan state you make me sad ,michigan state make sad,-0.5
omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.,omg  mouth much pain wanna sleep untill time take brace ,0.2
getting annoyed easily today  &gt&gt&gt biofuel proposal: getting annoyed easily today  &gt&gt&gt biof.. http://tinyurl.com/ceprvs,getting annoyed easily today gt gt gt biofuel proposal  getting annoyed easily today gt gt gt biof  ,0.016666666666666663
@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. ,Hey girl  site back  Girlyvue back even video ,0.0
@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. , spending time grandma early tomorrow  leave skittle ,0.1
just got home from watching Michigan State get tromped!   ,got home watching Michigan State get tromped,0.0
"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt_&lt i'm not finishing tonight, it's not possible...my bones ache ",Oh jewbus Two year worth class  work ALOT organize gt lt  finishing tonight   possible  bone ache,0.15
@hyperbets i hope this doesn't last too long.  i feel miserable!,hope  last long  feel miserable,-0.35000000000000003
@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...,RACHEL hang outage neccessary gonna home wekend dumb folk make work im free F Sat 4 ,0.012500000000000011
@TheLeagueSF Not Fun &amp Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctiousthe city overreacted &amp clamped down ,Fun amp Furious  new mantra Bay 2 Breakers  getting 2 rambunctiousthe city overreacted amp clamped,0.21818181818181817
